test,investigation,result,unit,referencevalue,inference
Lipid Profile,Cholesterol Total,190,mg/dL,<200,"Cholesterol levels are normal, suggesting a low risk of cardiovascular disease."
Lipid Profile,Cholesterol Total,215,mg/dL,<200,"Slightly elevated cholesterol; consider reducing saturated fat intake."rureLC
Lipid Profile,Cholesterol Total,180,mg/dL,<200,"Cholesterol levels are optimal, supporting heart health."
Lipid Profile,Cholesterol Total,225,mg/dL,<200,"High cholesterol; lifestyle changes and possibly medication are recommended."
Lipid Profile,Cholesterol Total,160,mg/dL,<200,"Cholesterol levels are within a healthy range, reducing cardiovascular risk."
Lipid Profile,Cholesterol Total,210,mg/dL,<200,"Borderline high cholesterol; dietary modifications may be needed."
Lipid Profile,Cholesterol Total,170,mg/dL,<200,"Cholesterol levels are healthy, indicating good cardiovascular health."
Lipid Profile,Cholesterol Total,200,mg/dL,<200,"Cholesterol levels are at the upper limit of normal; monitoring is advised."
Lipid Profile,Cholesterol Total,230,mg/dL,<200,"High cholesterol; increased risk of heart disease."
Lipid Profile,Cholesterol Total,185,mg/dL,<200,"Cholesterol levels are normal, supporting overall heart health."
Lipid Profile,Cholesterol Total,220,mg/dL,125-200,"Cholesterol total is elevated; consider lifestyle changes or medication."
Lipid Profile,Cholesterol Total,190,mg/dL,125-200,"Cholesterol total is within normal limits, indicating a lower risk of heart disease."
Lipid Profile,Cholesterol Total,210,mg/dL,125-200,"Cholesterol is slightly high; monitoring diet and exercise is advised."
Lipid Profile,Cholesterol Total,180,mg/dL,125-200,"Cholesterol total is optimal, reflecting good cardiovascular health."
Lipid Profile,Cholesterol Total,240,mg/dL,125-200,"Cholesterol is high; may require medical intervention."
Lipid Profile,Cholesterol Total,170,mg/dL,125-200,"Cholesterol total is within a healthy range, lowering heart disease risk."
Lipid Profile,Cholesterol Total,250,mg/dL,125-200,"Cholesterol total is dangerously high; immediate lifestyle changes are recommended."
Lipid Profile,Cholesterol Total,160,mg/dL,125-200,"Cholesterol total is slightly low, which is within normal limits."
Lipid Profile,Cholesterol Total,260,mg/dL,125-200,"Severely high cholesterol; potential risk for atherosclerosis."
Lipid Profile,Cholesterol Total,150,mg/dL,125-200,"Cholesterol total is low, which is still within normal limits."
Lipid Profile,Triglycerides,160,mg/dL,<150,"Triglycerides are slightly elevated, which may increase the risk of heart disease."
Lipid Profile,Triglycerides,140,mg/dL,<150,"Triglycerides are within the normal range, indicating a balanced lipid profile."
Lipid Profile,Triglycerides,170,mg/dL,<150,"Elevated triglycerides; consider lifestyle changes to lower levels."
Lipid Profile,Triglycerides,130,mg/dL,<150,"Triglycerides are at a healthy level, reducing cardiovascular risk."
Lipid Profile,Triglycerides,180,mg/dL,<150,"High triglycerides; risk of metabolic syndrome is increased."
Lipid Profile,Triglycerides,120,mg/dL,<150,"Triglycerides are normal, indicating good lipid metabolism."
